category	bucket	fullName	stars	updatedAt	description
ios	top-stars	AvdLee/RocketSimApp	787	2026-08-02	RocketSim - 30+ tools for Xcode's iOS Simulator: testing, debugging, network monitoring, AI agent automation via RocketSim CLI
ios	top-stars	Wholiver/swiftui-design-skill	163	2026-08-01	SwiftUI Front-End Design Skills - six rules against AI sloppiness, brand asset guidelines, five-dimensional review
ios	top-stars	furkancingoz/aso-skill	34	2026-07-22	Complete App Store Optimization skill for Claude Code - metadata, competitor analysis, App Store Connect submission, screenshots
ios	top-stars	Nagarjuna2997/ios-agent-skill	31	2026-08-01	Production-ready iOS SwiftUI guidance for AI coding agents
ios	top-stars	ivan-magda/swift-security-skill	29	2026-07-24	AI agent skill for secure credential storage & cryptography on Apple platforms - Keychain, biometrics, CryptoKit, OWASP
ios	top-stars	mhaviv/Swift-FocusEngine-Agent-Skill	19	2026-07-31	AI agent skill for correct focus management for tvOS, iOS, macOS, visionOS & watchOS
ios	top-stars	JustinPerea/app-store-review-skill	9	2026-07-30	Claude Code skill that scans Xcode projects for common App Store rejection reasons before submission
ios	top-stars	ivan-magda/uikit-expert-skill	7	2026-07-03	Agent skill for writing correct, modern UIKit code in Swift - lifecycle, memory, concurrency, collection views
ios	top-stars	koshkinvv/ios-agent-skills	5	2026-05-14	9 expert-level iOS development skills - SwiftUI, architecture, networking, data, security, concurrency, testing
ios	top-stars	zinxj/uikit-expert-skill	4	2026-07-27	AI agent skill for accurate, efficient, modern UIKit Swift code with best practices
ios	top-stars	markgravity/app-tester-skill	3	2026-06-27	Claude Code skill for testing iOS/macOS app navigation flows without screenshots - screen graph, accessibility tree
ios	top-stars	beydemirfurkan/appstore-release	3	2026-07-05	Ship an iOS app to App Store review end-to-end via App Store Connect API - agent skill, ~90% automated
ios	top-stars	zanwei/human-interface-guidelines-skill	2	2026-07-13	Reusable HIG skill for iOS, iPadOS, macOS, watchOS, tvOS, visionOS design review/spec workflows
ios	top-stars	artbyjazi/app-store-approval	2	2026-08-01	Claude Code skill that audits an iOS codebase for App Store rejection risks before submission
ios	top-stars	ebuntario/apple-hig	2	2026-04-21	Claude Code skill: build Apple-platform UIs following HIG across SwiftUI, UIKit, AppKit, iOS, macOS, iPadOS, watchOS, tvOS, visionOS
ios	top-stars	berkayturk/appstore-precheck	2	2026-08-02	Read-only iOS App Store pre-submission check - 20 rejection vectors, fastlane precheck wrapper, adversarial reviewer pass
ios	noname	marcotini/apple-app-store-aso	1	2026-05-26	Claude Code skill for Apple App Store metadata: drafts it, validates it, won't make it up
ios	noname	Rylaa/ios-marketing-att-skill	1	2026-05-21	Claude Code skill for iOS marketing channel attribution under ATT - AppsFlyer, Adjust, Meta AEM, SKAdNetwork 4
ios	noname	OtherdaysStudio/springy-motion	1	2026-06-03	Springy, physically-grounded motion for web and SwiftUI - a Claude Code skill that builds and reviews animations
ios	noname	moretea-labs/ios-engineering-skill	1	2026-06-27	Open-source AI skill for end-to-end SwiftUI and iOS engineering workflows
ios	noname	mazen-salah/appstore-localization	1	2026-06-12	Claude Code skill: localize iOS App Store metadata & screenshots into many locales - Gemini + Astro ASO + Python
ios	noname	martingeidobler/ios-mcp-server	2	2026-07-21	MCP server for iOS Simulator control with native touch injection and native UI tree reading - no Accessibility permissions needed
ios	noname	alin6668/ios-mcp-lua	1	2026-07-07	iOS MCP server with Lua 5.4 scripting engine - 42 ios.* Lua APIs
ios	noname	lastlookdev/ios-mcp-server	1	2026-05-17	MCP server for iOS device/simulator control
ios	noname	atian8179/app-settings-guide	0	2026-05-24	Interactive Claude Code skill for building iOS SwiftUI settings/preferences/about screens
ios	noname	Trentobobbi/uikit-mastery-playbook	0	2026-08-02	UIKit Expert Skill 2026 - best practices & high performance Swift code
ios	noname	arnoldalberto007-sys/Swift-UIKit-Components	0	2026-08-02	Swift-UIKit-Pro 2026: build production-ready programmatic iOS apps with advanced architecture & data flow patterns
ios	noname	Vladimir-Br/swiftui-project-template	0	2026-05-13	Cursor rules starter template for new SwiftUI projects using modern Apple APIs
ios	noname	aponeurosiswilling807/apple-hig	0	2026-07-27	Apple HIG plugin for iOS, iPadOS, macOS, watchOS, tvOS, visionOS UI design
ios	noname	anagnole/apple-reviewer-simulator	0	2026-06-03	Claude skill acting as Apple App Review reviewer by driving iOS Simulator with computer use
ios	noname	AmrMohamad/figma-to-ios-ui	0	2026-04-17	Public Figma-to-iOS design-to-code skills for UIKit, XIB, and SwiftUI
ios	noname	yoshi2ys/simpilot	0	2026-07-28	CLI tool for controlling apps on Simulator via XCUITest
ios	noname	bensonmaxai/minis-security-skills	0	2026-04-11	Security skills for Minis on iOS - agent operational safety and prompt-injection defense
ios	noname	bensonmaxai/minis-coding-success-skills	0	2026-04-11	Coding-success skills for Minis on iOS - review risk, plan, isolate, trace, test, verify, release
ios	noname	sesamehut/appstore-connect-skill	0	2026-06-22	Portable AI-agent skill/CLI to operate the Apple App Store Connect API - listings, reviews, TestFlight
ios	noname	ezra-y/ios-motion-patterns-index	0	2026-06-17	Claude Code skill - index of ready-to-run Swift animation code examples, sourced from MotionBook
ios	noname	CJ10110425/claude-design-to-testflight	0	2026-04-23	Claude Design to TestFlight pipeline (iOS) - bilingual Claude Code skill + guides for Expo + Firebase apps
ios	noname	ciscoriordan/storescreens-skill	0	2026-07-12	Agent skill that sets up and runs storescreens-cli for App Store screenshot automation
ios	noname	sosteam65/app-store-connect-skill	0	2026-07-27	Manage iOS app metadata, TestFlight builds, and releases from terminal via Claude Code skill
ios	noname	heyimjames/nikita-bier-consumer-apps	0	2026-03-11	Claude AI skill packaging Nikita Bier's playbook for building viral consumer iOS/mobile apps
android	top-stars	minhalvp/android-mcp-server	791	2026-08-02	MCP server that provides control over Android devices via adb
